#,Player,Team,Pos,ADP,PTS,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
1,Andrei Vasilevskiy,Lightning,G,11.9,230.2,59,33,20,6,3.8,1437,156,1593,0.902,2.64
2,Connor Hellebuyck,Jets,G,26.6,218.4,58,30,21,7,4.3,1421,145,1566,0.907,2.50
3,Logan Thompson,Capitals,G,28.6,217.4,53,30,17,6,4,1380,131,1511,0.913,2.47
4,Karel Vejmelka,Utah,G,69.2,217.1,60,31,22,7,3.3,1512,168,1680,0.900,2.80
5,Jeremy Swayman,Bruins,G,64.9,216.3,57,30,21,6,3.9,1478,147,1625,0.909,2.58
6,Carter Hart,Knights,G,134.6,215.9,55,31,18,6,3.1,1305,153,1458,0.895,2.78
7,Igor Shesterkin,Rangers,G,39.6,214.8,59,30,22,7,3.7,1495,157,1652,0.905,2.66
8,Jake Oettinger,Stars,G,24.6,212.3,56,30,20,6,3.3,1359,153,1512,0.899,2.73
9,Ilya Sorokin,Islanders,G,35.6,201.3,59,28,24,7,3.1,1632,168,1800,0.906,2.85
10,Lukas Dostal,Ducks,G,163.3,198.1,55,28,21,6,2.6,1460,163,1623,0.900,2.96
11,Jet Greaves,Blue Jackets,G,125.6,195.4,54,27,21,6,2.9,1441,152,1593,0.905,2.81
12,John Gibson,Red Wings,G,185.7,190.9,54,26,21,7,3,1416,150,1566,0.904,2.78
13,Brandon Bussi,Hurricanes,G,73.9,190.6,45,26,14,5,2.9,1052,118,1170,0.899,2.62
14,Juuse Saros,Predators,G,115.6,189.7,60,27,25,8,2.2,1547,193,1740,0.889,3.22
15,Linus Ullmark,Senators,G,134.8,187.7,50,26,18,6,2.5,1280,145,1425,0.898,2.90
16,Jesper Wallstedt,Wild,G,58.3,187.0,50,26,18,6,2.4,1278,147,1425,0.897,2.94
17,Jacob Markstrom,Panthers,G,72.5,186.1,48,26,17,5,2.3,1155,141,1296,0.891,2.94
18,Sergei Bobrovsky,Maple Leafs,G,90.6,186.0,54,26,21,7,2.3,1401,165,1566,0.895,3.06
19,Spencer Knight,Blackhawks,G,138.3,182.5,56,25,24,7,2.5,1512,168,1680,0.900,3
20,Jakub Dobes,Canadiens,G,81.1,182.5,49,25,18,6,2.4,1328,142,1470,0.903,2.90
21,Scott Wedgewood,Avalanche,G,52.4,180.5,42,24,14,4,2.8,1046,109,1155,0.905,2.60
22,Mackenzie Blackwood,Avalanche,G,92.5,178.4,42,24,14,4,2.5,1041,114,1155,0.901,2.71
23,Dustin Wolf,Flames,G,192.3,176.7,55,24,24,7,2.4,1429,166,1595,0.896,3.02
24,Ukko-Pekka Luukkonen,Sabres,G,110.7,176.7,47,24,17,6,2.3,1180,136,1316,0.897,2.89
25,Joey Daccord,Kraken,G,205.6,174.2,50,23,21,6,2.7,1309,141,1450,0.903,2.82
26,Jake Allen,Devils,G,204.5,173.9,44,23,16,5,2.6,1090,120,1210,0.901,2.73
27,Joel Hofer,Blues,G,125.5,173.6,47,23,18,6,2.6,1208,132,1340,0.901,2.81
28,Darcy Kuemper,Kings,G,192.3,173.3,44,23,16,5,2.5,1089,121,1210,0.900,2.75
29,Yaroslav Askarov,Sharks,G,161.3,167.4,50,23,21,6,1.7,1387,163,1550,0.895,3.26
30,Dan Vladar,Flyers,G,144.4,167.2,44,22,17,5,2.3,1173,125,1298,0.903,2.84
31,Pyotr Kochetkov,Hurricanes,G,203.4,166.9,39,22,13,4,2.3,907,107,1014,0.894,2.74
32,Anton Forsberg,Kings,G,—,163.0,40,21,14,5,2.4,992,108,1100,0.901,2.70
33,Nico Daws,Devils,G,—,161.5,40,21,14,5,2.2,988,112,1100,0.898,2.80
34,Arturs Silovs,Penguins,G,204.9,157.4,46,21,19,6,1.7,1232,148,1380,0.893,3.22
35,Akira Schmid,Panthers,G,—,155.5,36,20,12,4,2,872,100,972,0.897,2.78
36,Tristan Jarry,Oilers,G,—,153.2,38,20,14,4,1.7,969,114,1083,0.895,3
37,Thatcher Demko,Canucks,G,205.7,151.5,43,19,18,6,2.2,1124,123,1247,0.901,2.86
38,Alex Lyon,Sabres,G,187.2,149.9,37,19,14,4,1.9,931,105,1036,0.899,2.84
39,Frederik Andersen,Oilers,G,190.8,148.4,36,19,13,4,1.7,920,106,1026,0.896,2.94
40,Joseph Woll,Flyers,G,205.7,147.4,40,19,16,5,1.6,1056,124,1180,0.895,3.10
41,Filip Gustavsson,Wild,G,179.0,144.4,34,18,12,4,1.8,872,97,969,0.900,2.85
42,Sergei Murashov,Penguins,G,191.8,141.9,38,18,15,5,1.5,1021,119,1140,0.896,3.13
43,Jacob Fowler,Canadiens,G,173.1,138.0,35,17,14,4,1.6,945,105,1050,0.900,3
